"","grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
"1249",10,1,"Hispanic",0,0,1,1,0,1,1,1,0,0,0,0,1,0,225,25,1,1,1,3000,487.15
"1251",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,360,25,0,1,0,929,557.41
"1253",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,240,30,1,1,1,1202,501.82
"1254",10,1,"Black",1,1,1,0,1,1,0,1,1,1,1,1,0,0,450,24,1,1,0,1387,417.4
"1255",11,0,"White",1,1,1,0,0,1,1,1,0,0,0,1,1,0,225,25,1,1,0,2878,563.21
"1258",10,0,"Black",1,1,1,0,0,1,0,0,1,1,1,1,1,1,275,28,1,1,1,2149,554.71
"1259",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,10,1,0,1,366,656.3
"1260",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,0,0,1064,613.73
"1261",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,868,423.81
"1262",10,0,"More than one race",1,1,1,0,1,1,1,1,1,1,1,1,1,1,230,23,1,1,0,1380,497.83
"1263",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,270,20,1,1,0,261,581.98
"1265",10,1,"Hispanic",1,0,1,0,0,1,1,1,1,1,1,1,1,0,300,10,1,1,0,316,369.54
"1267",12,0,"Black",1,1,1,1,1,1,0,1,0,0,0,1,1,0,200,25,1,1,1,2203,562.26
"1268",10,1,"Black",1,1,1,1,1,1,1,1,1,1,1,1,1,1,250,20,1,1,1,1276,497.81
"1269",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,270,25,1,1,0,1812,471.51
"1270",10,1,"Hispanic",0,1,0,0,1,0,0,1,1,0,0,0,1,0,450,30,1,1,0,1327,357.68
"1271",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,25,1,1,0,1913,547.08
"1272",11,0,"More than one race",0,1,1,1,1,1,1,0,1,0,0,1,1,1,180,20,1,0,1,570,587.92
"1273",10,1,"Hispanic",1,1,1,1,1,0,0,1,1,1,1,1,1,1,39,20,1,1,1,2640,557.37
"1274",10,1,"Hispanic",0,1,1,1,1,0,0,1,1,1,0,1,1,1,225,36,1,1,1,3164,471.27
"1277",10,1,"Hispanic",1,1,1,0,0,1,0,1,1,1,1,1,1,0,200,25,1,1,0,996,573.65
"1278",11,1,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,0,1,1,360,30,1,1,1,2886,655.02
"1279",11,1,"White",1,0,1,1,1,1,0,1,1,1,1,1,1,0,300,22,1,1,0,421,432.87
"1280",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,55,35,1,1,1,1988,420.85
"1282",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,300,31,0,1,0,2340,629.38
"1284",10,0,"White",1,0,1,0,0,1,0,0,1,1,1,1,1,0,450,27,1,1,0,987,521.82
"1285",10,1,"Hispanic",1,0,0,0,1,1,0,1,1,1,1,1,1,0,360,5,1,1,0,389,411.47
"1288",11,1,"Hispanic",0,1,1,0,1,1,0,1,1,0,0,1,1,0,200,30,1,1,1,3164,449.87
"1289",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,275,27,1,1,1,1392,472.73
"1290",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,220,22,1,1,0,846,483.22
"1291",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,210,25,1,1,0,632,740.47
"1292",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,176,20,1,1,1,1900,594.33
"1293",11,0,"White",1,1,1,1,1,1,1,1,1,0,1,1,1,0,240,30,1,0,1,575,558.21
"1294",11,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,350,25,1,0,1,308,507.27
"1295",10,1,"Hispanic",1,1,1,0,1,1,0,1,1,0,0,1,1,0,200,20,1,0,1,398,433.92
"1296",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,240,15,1,1,0,1380,499.65
"1297",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,1,275,20,0,1,1,502,559.8
"1298",10,0,"White",1,0,1,1,1,1,0,1,1,1,1,1,1,0,300,38,1,1,1,3138,548.36
"1299",11,0,"White",0,1,1,0,0,1,0,0,1,1,1,1,1,0,230,25,1,1,0,1380,503.63
"1300",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,160,13,1,1,1,1900,581.98
"1301",11,1,"Hispanic",0,1,0,0,0,0,0,1,0,0,0,0,0,0,275,10,1,1,0,227,449.47
"1303",10,1,"Hispanic",1,0,1,0,1,1,0,0,1,1,1,1,0,0,250,20,1,1,0,1375,372.51
"1304",8,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,250,15,1,1,0,421,408.86
"1305",10,0,"Hispanic",0,0,0,0,1,0,0,0,1,0,0,0,0,1,630,28,1,1,1,1720,581.8
"1307",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,225,27,1,1,0,632,589.59
"1308",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,30,1,1,0,1327,452.03
"1311",11,0,"Hispanic",1,1,0,0,1,0,0,0,1,0,0,0,1,0,290,22,1,1,0,1347,510.46
"1312",11,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,40,15,1,1,0,632,658.78
"1314",10,0,"Hispanic",1,1,1,1,1,1,1,1,1,0,0,1,1,1,500,26,1,0,1,308,633.2
"1315",10,1,"White",0,1,1,0,0,1,1,1,1,1,1,1,1,0,235,25,1,1,0,1828,541.34
"1316",10,1,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,0,332,12,1,1,0,1317,429.99
"1317",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,300,35,1,1,0,1900,526.35
"1318",10,0,"White",1,1,1,1,1,1,0,1,1,1,0,1,1,1,360,20,1,1,0,987,611.03
"1320",10,0,"White",1,1,1,1,1,1,1,1,1,0,0,1,1,0,250,20,1,1,0,1526,649.56
"1322",11,0,"Asian",1,1,1,0,1,1,0,1,1,0,0,0,1,1,245,30,1,1,1,1095,512.37
"1324",10,0,"White",1,1,0,0,1,1,0,1,1,1,1,1,1,1,385,35,1,1,0,507,428
"1325",10,0,"White",1,1,1,0,1,0,0,0,1,1,1,1,1,0,245,38,1,1,1,1095,608.02
"1326",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,300,33,1,1,1,3138,613.25
"1327",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,30,1,1,0,898,506.57
"1328",10,0,"More than one race",1,1,1,0,1,1,0,1,1,0,1,1,1,1,264,30,1,1,0,1680,635.5
"1329",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,180,18,1,1,0,1380,496.48
"1330",10,1,"More than one race",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,1,0,1848,528.19
"1331",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,60,1,0,1,1212,617.82
"1334",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,250,18,1,1,0,850,659.1
"1335",10,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,250,35,1,1,1,2080,482.82
"1336",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,632,634.41
"1337",10,1,"Hispanic",0,1,1,0,1,1,0,1,1,1,1,1,1,1,280,38,1,1,1,2085,655.1
"1338",11,0,"Hispanic",0,0,1,1,1,1,0,1,1,1,1,1,1,1,270,74,1,1,0,2402,555.51
"1339",11,1,"Hispanic",0,1,1,0,1,0,0,1,1,1,0,1,0,0,60,30,1,1,1,3164,363.37
"1340",9,1,"White",1,0,0,0,0,1,0,1,1,1,1,1,0,0,1200,25,1,1,0,361,368.02
"1342",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,200,25,1,0,1,1212,680.43
"1343",11,0,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,1,450,24,1,1,1,1720,607.54
"1344",11,1,"Hispanic",1,1,1,0,1,1,0,1,1,0,0,0,1,0,275,30,1,1,0,754,451.87
"1345",10,0,"Black",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,30,1,1,1,2999,486.39
"1347",10,1,"Hispanic",1,0,0,0,0,0,0,1,1,0,0,0,1,0,360,30,1,1,1,1763,547.51
"1349",9,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,180,45,1,1,0,276,409.3
"1350",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,26,1,1,0,1375,586.23
"1353",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,0,0,1,1,0,210,20,1,0,1,570,448.82
"1354",10,1,"Asian",1,1,1,0,1,1,0,1,1,0,1,1,1,0,225,20,1,0,1,356,526.35
"1355",10,0,"White",1,1,1,1,0,1,0,1,1,0,1,1,1,1,275,27,1,1,0,854,551.53
"1356",10,1,"Black",0,1,1,0,1,1,1,1,0,0,0,0,1,0,60,40,1,1,1,2149,453.96
"1357",11,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,225,25,1,1,0,979,541.26
"1358",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,18,0,0,1,366,524.02
"1359",9,1,"Native Hawaiian/Other Pacific Islander",1,0,1,0,0,1,0,0,1,1,1,1,1,0,300,30,1,1,0,754,350.06
"1361",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,2000,472.24
"1362",11,1,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,30,1,1,0,505,474.4
"1363",10,0,"White",1,0,0,0,0,0,0,1,1,1,1,1,1,0,275,25,1,1,0,1327,473.28
"1364",10,1,"White",0,1,1,0,1,1,0,1,1,0,0,0,1,1,275,12,1,0,1,915,557.69
"1367",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,235,15,1,1,0,1828,445.32
"1368",11,1,"Hispanic",1,0,0,0,0,1,0,1,1,1,1,1,0,1,225,30,1,1,1,989,546.87
"1369",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,275,18,1,1,0,2000,662.15
"1371",10,1,"Hispanic",1,0,1,0,0,1,0,1,1,0,0,0,1,0,300,30,1,1,1,3261,644.84
"1372",10,1,"White",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1100,25,1,1,0,1064,523.14
"1373",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,250,15,1,0,1,915,571.08
"1375",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,23,1,0,1,356,684.04
"1376",9,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,30,1,1,1,1378,333.95
"1378",11,1,"Hispanic",1,1,1,0,1,0,0,1,1,1,1,1,1,0,225,27,1,1,1,991,517.29
"1380",10,0,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1489,587.04
"1381",10,1,"White",1,1,1,1,1,1,1,1,0,1,0,1,1,1,270,20,1,1,0,979,686.12
"1382",10,0,"White",1,0,1,1,1,1,1,1,0,0,0,0,1,0,235,30,1,1,0,1828,487.82
"1383",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,30,1,1,0,2748,556.17
"1385",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,250,33,1,1,0,1692,704.06
"1386",10,1,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,0,250,30,1,0,0,1064,515.61
"1388",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,270,30,1,1,0,1900,599.83
"1391",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,200,17,1,0,1,356,502.12
"1392",10,1,"White",1,1,1,0,1,1,0,1,1,0,1,1,1,0,210,20,1,1,1,991,545.11
"1394",10,1,"White",1,0,1,0,0,1,1,1,1,1,1,1,1,0,240,15,1,1,0,1380,481.61
"1395",10,0,"White",0,1,1,0,1,1,0,0,1,1,1,1,1,1,280,15,0,1,1,502,514.51
"1398",11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,258,30,1,1,0,1812,586.01
"1399",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,1526,510.22
"1401",11,0,"Asian",1,1,1,0,1,1,0,1,1,0,0,1,1,0,255,21,1,0,1,570,554.39
"1402",11,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,240,15,1,1,1,1900,722.41
"1403",11,0,"White",1,1,1,0,1,1,0,1,1,1,0,1,1,1,250,25,1,1,1,1723,621.12
"1404",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,200,25,1,1,0,1680,461.53
"1405",10,1,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,1,200,20,1,1,0,434,652.21
"1406",10,0,"Black",1,1,0,0,1,1,0,0,0,0,0,0,1,0,225,25,1,1,0,1327,511.02
"1408",10,0,"Hispanic",0,1,1,0,1,1,0,1,1,1,0,1,1,1,225,17,1,1,0,1327,606.59
"1409",10,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,175,30,1,1,0,1913,581.18
"1411",11,0,"Black",1,1,1,0,0,1,0,1,1,1,1,1,1,0,235,20,0,1,1,991,598.96
"1415",10,0,"White",1,1,1,0,1,0,0,1,1,1,1,1,0,1,225,40,1,1,0,149,563.13
"1416",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,0,0,1,308,622.31
"1417",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1610,630.66
"1419",9,0,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,225,12,1,1,0,347,443.97
"1423",11,1,"White",0,1,1,0,1,1,0,0,1,0,0,0,1,0,275,33,1,1,1,3164,468.79
"1424",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,450,21,1,1,0,987,554.23
"1425",11,0,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,1,264,35,1,1,0,2402,497.12
"1426",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,1,2144,535.96
"1427",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,300,24,1,1,0,434,493.72
"1428",11,1,"Hispanic",1,1,0,0,1,1,0,1,1,0,0,1,1,0,225,30,1,1,0,754,465.58
"1429",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,25,1,1,0,347,698.42
"1430",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,75,30,1,1,0,930,439.76
"1432",11,0,"Black",1,1,1,0,1,0,0,1,1,1,0,1,1,1,45,17,1,1,1,2640,547.32
"1434",10,0,"Black",1,1,1,1,0,1,1,1,1,1,1,1,1,1,225,27,1,0,1,308,405.92
"1435",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,12,1,0,1,915,704.96
"1438",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,360,30,1,1,0,1295,649.32
"1439",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,200,16,1,1,0,509,568.06
"1442",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,300,30,1,1,0,1295,492.51
"1443",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,0,0,180,18,1,1,0,261,516.18
"1444",11,0,"White",1,1,1,1,1,1,0,1,0,1,0,1,1,1,225,14,1,1,0,1848,682.21
"1445",10,1,"Hispanic",0,1,1,0,0,0,0,1,1,1,1,1,1,0,250,20,1,1,0,400,483.62
"1446",10,0,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,1,260,16,1,1,0,3004,658.38
"1447",10,1,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,1,180,20,1,1,0,887,648.76
"1450",10,1,"Asian",1,1,1,1,1,1,1,1,1,0,0,1,1,0,240,30,1,0,1,570,564.83
"1451",9,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,300,18,1,1,0,434,622.71
"1452",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,210,18,1,1,0,996,551.85
"1453",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,200,25,1,1,0,1680,531.99
"1454",11,0,"Hispanic",1,1,0,0,1,1,0,1,1,1,1,1,1,1,330,35,1,1,1,2942,538.03
"1455",10,1,"More than one race",1,1,1,1,1,1,0,1,1,1,1,1,1,0,275,15,1,1,0,400,453.88
"1456",10,0,"Hispanic",1,1,1,1,1,0,0,0,0,0,0,0,1,0,232,15,1,1,0,2710,495.13
"1457",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,1064,514.64
"1459",10,1,"White",0,0,1,0,0,1,0,1,1,1,1,1,1,0,225,26,1,1,0,358,443.29
"1460",9,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,16,1,1,0,276,397.68
"1463",10,0,"White",1,0,1,0,1,0,0,1,1,1,1,1,1,0,250,35,1,1,1,2004,486
"1464",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,20,1,0,1,356,549.6
"1465",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,24,1,1,0,1471,505.93
"1466",10,0,"Hispanic",1,1,1,0,1,0,0,0,1,0,0,0,1,0,280,20,1,1,0,227,539.38
"1468",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,7,1,1,0,1233,490.35
"1469",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,350,23,1,1,0,1295,577.74
"1470",10,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,1380,553.77
"1471",11,1,"White",1,0,1,0,0,1,0,1,1,1,1,1,1,0,450,20,1,1,0,987,482.42
"1473",10,1,"Black",1,0,1,1,1,1,1,1,1,1,1,1,1,0,245,29,1,1,0,366,475.6
"1474",10,1,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,31,1,1,1,2162,331.54
"1476",10,1,"Black",1,1,1,1,1,1,1,1,1,1,0,1,1,0,300,33,1,1,1,2255,514.88
"1477",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,160,20,1,0,1,1212,549.92
"1480",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,20,1,1,0,2748,456.6
"1481",10,1,"Black",1,1,1,1,1,0,0,1,1,1,0,1,1,0,400,20,1,1,0,2041,563.39
"1483",11,0,"Asian",1,1,1,1,0,1,1,1,0,0,0,0,1,1,275,25,1,1,0,2000,732.42
"1485",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,240,25,1,1,0,1380,497.12
"1488",10,1,"Asian",1,1,1,0,0,1,1,1,1,0,0,1,1,0,300,30,1,1,0,347,435.04
"1491",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,240,9,1,1,0,149,559.87
"1492",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,25,1,0,1,356,585.69
"1493",11,0,"White",0,1,0,0,1,1,0,1,1,1,1,1,1,0,800,25,1,1,0,808,493.62
"1494",11,0,"More than one race",1,1,1,0,1,1,0,1,1,1,1,1,1,1,275,30,1,1,1,2149,560.11
"1495",11,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,450,30,1,1,0,432,606.19
"1497",10,0,"Black",1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,25,1,1,0,820,477.57
"1501",10,1,"White",0,1,1,0,0,0,0,0,1,1,1,1,1,0,225,22,1,1,0,1250,398.64
"1502",11,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,0,1,270,30,1,1,1,1619,509.83
"1503",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,135,19,1,1,0,196,461.57
"1504",10,0,"Black",1,1,1,1,1,1,1,1,1,1,1,1,0,0,990,20,1,1,1,1202,351.74
"1505",11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,25,1,1,0,850,622.47
"1506",10,0,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,1,300,19,1,1,0,362,508.72
"1507",9,1,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,1,1,0,425,30,1,1,0,2569,366.57
"1509",11,0,"Hispanic",0,1,1,1,1,1,1,1,0,0,0,0,1,0,110,20,1,1,1,1723,392.41
"1510",11,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,1,140,32,1,1,0,1295,517.77
"1511",10,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,0,1,1,45,25,1,1,0,1900,444.69
"1512",10,0,"Hispanic",0,1,1,1,1,1,0,1,0,0,0,0,1,1,1680,20,1,1,1,2646,452.07
"1513",9,0,"Hispanic",0,0,1,0,1,1,0,0,1,1,1,1,0,0,300,30,1,1,1,3592,464.71
"1515",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,250,30,1,1,0,929,558.66
"1519",11,0,"Hispanic",1,1,1,0,0,1,0,1,1,0,0,0,1,1,475,27,1,1,0,1079,542.79
"1521",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,0,0,270,15,1,1,0,261,416.09
"1522",10,0,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,1,300,30,1,1,1,1046,598.24
"1524",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,31,1,0,0,1064,520.26
"1525",11,0,"Asian",0,1,0,0,0,1,0,0,1,0,0,0,1,0,225,32,1,1,1,1095,579.58
"1526",9,1,"More than one race",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,30,1,1,0,2878,328.09
"1527",9,1,"Asian",0,1,1,0,0,1,0,1,0,0,0,0,1,0,180,30,1,1,1,989,407.94
"1529",10,1,"Native Hawaiian/Other Pacific Islander",1,1,1,0,0,1,0,0,1,0,0,0,1,0,275,39,1,1,1,3592,470.63
"1530",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,240,30,1,1,0,1812,518.89
"1531",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,270,14,1,1,0,196,641.62
"1532",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,250,20,1,1,0,276,661.16
"1533",9,1,"White",1,0,1,1,0,1,1,1,1,1,1,1,1,1,235,30,1,1,0,2878,623.67
"1538",10,0,"White",1,1,1,0,0,1,1,0,1,1,1,1,1,0,300,39,1,1,1,3164,473.28
"1539",10,0,"Hispanic",0,0,1,0,1,1,1,1,1,0,1,1,1,0,275,28,1,1,0,1692,389.32
"1540",10,0,"American Indian/Alaska Native",1,1,1,0,0,1,0,1,1,1,1,1,0,1,55,15,1,1,0,300,408.54
"1541",11,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,225,30,1,1,0,1610,502.6
"1542",9,1,"Hispanic",1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,34,1,1,1,3138,446.82
"1544",10,0,"White",0,1,1,1,1,1,1,0,1,1,1,1,1,1,270,26,1,0,1,570,552.17
"1545",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,30,1,1,0,2041,629.7
"1546",11,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,0,0,1,0,250,36,1,1,1,1763,537.31
"1548",10,1,"Hispanic",0,1,0,0,0,1,0,1,1,0,0,1,1,0,250,40,1,1,1,2646,580.62
"1549",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,225,20,1,1,0,636,605.71
"1551",10,0,"White",1,1,1,0,1,0,0,1,0,0,0,0,1,1,120,19,1,1,0,1733,634.71
"1552",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,40,1,1,1,1734,621.27
"1553",10,1,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,90,20,1,1,0,362,398.64
"1557",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,20,1,1,0,1526,604.35
"1559",9,1,"Hispanic",0,1,0,0,1,0,0,1,0,0,0,0,1,0,200,30,1,1,0,1733,377.8
"1561",10,0,"White",1,0,1,0,0,1,0,1,1,1,1,1,0,0,275,20,1,1,0,362,435.95
"1563",10,1,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,1,270,15,1,1,0,261,690.05
"1564",10,0,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,0,450,28,1,1,0,1750,611.59
"1566",10,1,"White",0,1,1,0,0,1,0,0,1,1,1,1,1,0,450,28,1,1,0,432,568.68
"1567",11,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,275,28,1,1,0,316,659.02
"1568",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,15,1,1,0,389,651.31
"1570",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,1,50,18,0,1,0,868,364.37
"1573",10,1,"Black",0,1,1,0,1,1,0,1,1,1,1,1,1,1,450,30,1,1,0,820,466.3
"1574",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,0,1,1,1,1,300,23,1,1,1,2144,533.66
"1575",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,300,30,1,1,1,2255,495.16
"1577",10,1,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,1,45,25,1,1,1,673,454.68
"1578",10,1,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,250,20,1,1,0,316,471.19
"1579",11,0,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,0,1,0,200,30,1,1,1,2640,415.13
"1580",9,1,"White",0,0,1,0,0,1,0,1,1,1,1,1,1,0,150,20,1,1,0,1733,387.34
"1581",10,1,"Hispanic",1,0,1,0,1,1,0,1,1,1,1,1,1,0,420,27,1,1,0,899,399.28
"1583",11,0,"Black",0,1,1,0,1,1,0,1,1,1,1,1,0,1,225,30,1,1,1,1392,503.15
"1584",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,225,8,1,1,0,247,602.69
"1585",11,0,"White",1,1,1,1,1,1,1,1,1,0,1,1,1,0,225,25,0,1,1,1640,661.48
"1587",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,150,30,1,1,1,2080,577.74
"1594",9,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,225,17,1,1,0,421,315.27
"1596",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,50,20,1,0,1,366,592.09
"1598",10,0,"Black",1,0,1,0,1,1,1,0,1,1,1,1,1,0,225,35,1,1,1,2144,440.4
"1599",10,0,"Hispanic",1,1,0,0,0,0,0,1,1,1,0,1,1,1,156,32,1,1,1,2942,440.63
"1600",10,0,"Hispanic",1,0,0,0,0,0,0,1,0,0,0,0,0,0,50,5,1,1,0,227,346.34
"1601",10,0,"Black",1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,30,1,1,1,2532,558.21
"1602",10,0,"Native Hawaiian/Other Pacific Islander",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,996,580.37
"1604",9,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,480,25,1,1,0,2361,380.6
"1605",10,0,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,1,1,1,70,25,1,1,0,712,640.59
